sequence,move to front,opt,opt free,discrete doa,continuous doa
"3,0,2,0,1,0",18,12,12,12,12
"4,2,0,0,2,4",18,15,16,18,16
"4,2,0,0,4,2",19,15,16,18,16
"4,2,0,2,0,4",19,15,16,18,16
"1,0,3,1,3,1",15,12,12,13,13
"4,3,1,3,1,4",21,17,20,20,20
"0,0,1,1,3,3",10,10,10,10,10
"0,0,0,1,4,0",13,11,11,11,11
"0,0,0,3,1,0",13,10,10,10,10
"0,0,0,3,1,3",12,11,11,11,11
"4,3,1,4,1,3",22,17,20,20,20
"0,0,0,4,4,0",11,11,11,11,11
"1,3,1,2,1,3",17,14,14,15,15
"2,3,0,0,3,2",16,14,14,16,14
"0,0,1,3,3,3",10,10,10,10,10
"3,4,0,3,4,0",21,16,16,18,16
"0,0,1,1,1,3",10,10,10,10,10
"3,2,1,3,2,1",21,15,17,17,17
"4,1,3,2,1,0",26,17,17,17,17
"1,2,0,2,0,0",13,10,10,11,10
"0,0,0,2,1,3",13,12,12,12,12
"2,3,1,3,1,2",18,15,17,17,17
"1,0,4,1,1,4",15,13,13,14,14
"4,2,1,4,3,4",23,19,19,19,20
"0,0,1,3,3,1",11,11,11,11,11
"4,1,2,1,4,2",20,16,17,19,17
"1,3,1,1,2,3",16,14,14,15,15
"3,2,0,2,0,3",18,14,15,16,15
"2,0,3,2,3,2",16,13,13,14,14
"0,0,2,2,2,0",9,9,9,9,9
"1,1,2,1,1,2",11,10,10,11,10
"3,1,3,0,0,1",16,13,13,14,14
"0,0,0,3,3,2",12,12,12,12,12
"0,0,0,3,4,3",14,13,13,13,13
"2,4,1,1,2,4",19,16,18,18,18
"0,0,0,1,3,0",12,10,10,10,10
"1,0,2,1,2,1",14,11,11,12,12
"0,0,2,2,2,4",12,12,12,12,12
"4,3,2,0,1,1",25,16,16,16,16
"3,4,2,4,2,3",21,18,20,20,20
"1,3,4,2,0,1",26,17,17,17,17
"0,3,1,1,1,3",12,11,12,12,12
"0,0,0,0,0,2",8,8,8,8,8
"2,1,3,2,1,3",19,15,16,17,16
"1,1,3,2,1,3",17,14,14,15,15
"1,4,2,3,0,1",26,17,17,17,17
